Title,Features.Handheld?,Features.Max Players,Features.Multiplatform?,Features.Online?,Metadata.Genres,Metadata.Licensed?,Metadata.Publishers,Metadata.Sequel?,Metrics.Review Score,Metrics.Sales,Metrics.Used Price,Release.Console,Release.Rating,Release.Re-release?,Release.Year
Super Mario 64 DS,True,1,True,True,Action,True,Nintendo,True,85,4.69,24.95,Nintendo DS,E,True,2004
Lumines: Puzzle Fusion,True,1,True,True,Strategy,True,Ubisoft,True,89,0.56,14.95,Sony PSP,E,True,2004
Hot Shots Golf: Open Tee,True,1,True,True,Sports,True,Sony,True,81,0.49,12.95,Sony PSP,E,True,2004
Spider-Man 2,True,1,True,True,Action,True,Activision,True,61,0.45,14.95,Nintendo DS,E,True,2004
The Urbz: Sims in the City,True,1,True,True,Simulation,True,EA,True,67,0.41,12.95,Nintendo DS,M,True,2004
Ridge Racer,True,1,True,True,Racing / Driving,True,Namco,True,88,0.36,19.95,Sony PSP,E,True,2004
Metal Gear Ac!d,True,1,True,True,Strategy,True,Konami,True,75,0.34,17.95,Sony PSP,E,True,2004
Madden NFL 2005,True,1,True,True,Sports,True,EA,True,68,0.25,8.95,Nintendo DS,T,True,2004
Pokmon Dash,True,1,True,True,Racing / Driving,True,Nintendo,True,46,0.22,24.95,Nintendo DS,T,True,2004
Dynasty Warriors,True,1,True,True,Action-Adventure-Role-Playing (RPG),True,,True,62,0.2,14.95,Sony PSP,E,True,2004
Feel the Magic XY/XX,True,1,True,True,Action-Adventure-Racing / Driving-Sports,True,Sega,True,75,0.16,8.95,Nintendo DS,T,True,2004
Ridge Racer DS,True,1,True,True,Racing / Driving,True,Namco,True,63,0.15,9.95,Nintendo DS,E,True,2004
Darkstalkers Chronicle: The Chaos Tower,True,1,True,True,Action,True,Capcom,True,74,0.14,14.95,Sony PSP,E,True,2004
Ape Escape Academy,True,4,True,True,Action-Sports,True,Sony,True,51,0.13,14.95,Sony PSP,E,True,2004
Polarium,True,1,True,True,Strategy,True,Nintendo,True,73,0.12,8.95,Nintendo DS,E,True,2004
Asphalt: Urban GT,True,1,True,True,Racing / Driving-Simulation,True,Ubisoft,True,60,0.11,14.95,Nintendo DS,E,True,2004
Zoo Keeper,True,1,True,True,Action,True,,True,74,0.1,14.95,Nintendo DS,T,True,2004
